review,rating,date,bank,source,processed_review,sentiment_label,sentiment_score,keywords,theme_cluster,themes
"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",1,2025-02-15,Commercial Bank of Ethiopia,Google Play,good remind account number need recipient history want present search option spesfic time want look receipt go account detail bank lose receipt download need look simple search app,NEGATIVE,0.9469566345214844,"['app', 'need', 'good', 'bank', 'time', 'account', 'option']",1,['Security Features']
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,Commercial Bank of Ethiopia,Google Play,crash multiple time everytime launch fix Edit crash fix screenshot disable know think good idea,NEGATIVE,0.9985707998275757,"['fix', 'good', 'time']",3,['Positive User Experience']
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,Commercial Bank of Ethiopia,Google Play,late update prevent take screenshot annoying allow screenshot need evidence particularly case transfer failure,NEGATIVE,0.999171257019043,"['need', 'update', 'transfer']",2,['Transaction Issues']
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",3,2025-03-30,Commercial Bank of Ethiopia,Google Play,history miss transaction tranfer cbe birr debit transfer need cop world real hack security problem invest solve,NEUTRAL,0.4742,"['transaction', 'need', 'transfer']",1,['Transaction Issues']
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,Commercial Bank of Ethiopia,Google Play,update system well well March update allow screenshot guy understand quick significant thing add extra step make process draw,POSITIVE,0.988547682762146,['update'],2,['Cluster_2']
"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",1,2025-01-29,Commercial Bank of Ethiopia,Google Play,CBE mobile banking app overall appreciate feature notice turn developer option device app stop function properly great look issue need access developer setting application thank attention matter,POSITIVE,0.9888258576393127,"['app', 'mobile', 'banking', 'need', 'application', 'option']",0,['Security Features']
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,Commercial Bank of Ethiopia,Google Play,good application functionality recommendation let app transfer money telebirr account MPESA way ask thank,POSITIVE,0.988575279712677,"['app', 'good', 'application', 'transfer', 'money', 'account']",1,['Transaction Issues']
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play,CBE mobile banking app overall appreciate feutere nottice turn Developer option divice App stop function prorerly great look issue l need access developer setting Otter Application ThankYou attention Matter,POSITIVE,0.9907351732254028,"['app', 'mobile', 'banking', 'need', 'application', 'option']",0,['Security Features']
"In the previous, I gave 4 🌟 for this app based on my evaluation. This app was without biometric security and may be exposed to cheaters unexpectedly. It is solved now. You can add verification security on the setting app. But there is something problem still with verification. It must prevent logging in without correct input fingerprint.",5,2024-12-20,Commercial Bank of Ethiopia,Google Play,previous give app base evaluation app biometric security expose cheater unexpectedly solve add verification security set app problem verification prevent log correct input fingerprint,NEGATIVE,0.9958961009979248,['app'],4,['Cluster_4']
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,Commercial Bank of Ethiopia,Google Play,understand reason need disable developer option access app security risk hinder app functionality go dev hope life fill inconvenience,NEGATIVE,0.999021053314209,"['app', 'need', 'option']",4,['Security Features']
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,Commercial Bank of Ethiopia,Google Play,smooth good time new update screenshot recite downlod button delayed put recite gallery simple proof fix unable proof payment client thankyou,POSITIVE,0.9767853021621704,"['fix', 'good', 'update', 'time']",3,['Positive User Experience']
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,Commercial Bank of Ethiopia,Google Play,frequent experience cbe app critical time failure suspend payment air day zero explanation deduct sender account deposit receiver act fatal error bank company app force banking corporation consent employer user correspond corporation,NEGATIVE,0.9966384172439575,"['app', 'banking', 'bank', 'user', 'time', 'account']",3,['Cluster_3']
What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,1,2025-03-21,Commercial Bank of Ethiopia,Google Play,absolutely terrible update screenshot stupid restriction developer option ACTUALLY developer point telebirr win game CBE well,NEGATIVE,0.9993652701377869,"['update', 'option']",2,['Security Features']
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,3,2025-03-25,Commercial Bank of Ethiopia,Google Play,bring screenshot option screenshot download option take like second appear gallery people know,NEGATIVE,0.9715682864189148,"['like', 'option']",1,['Security Features']
"The recent update automatically turns the developers option on, and when one starts the app, a message pops up saying the app does not work with the developers option on. So, one has to go to the settings and manually turn the developers option off. Otherwise the app doesn't work.",3,2025-01-01,Commercial Bank of Ethiopia,Google Play,recent update automatically turn developer option start app message pop say app work developer option setting manually turn developer option app work,NEUTRAL,0.5,"['app', 'work', 'update', 'option']",2,['Security Features']
"The review page keeps loading, and even sync is completed. The history page always shows old/unknown transactions. ...... Edited: I guess the loading page means it expires and needs to go to the nearest bank and ask for an extension for another 3 years. Upgrade to 3 stars .",3,2024-12-30,Commercial Bank of Ethiopia,Google Play,review page keep loading sync complete history page show old unknown transaction edit guess loading page mean expire need near bank ask extension year upgrade star,NEUTRAL,0.5,"['transaction', 'need', 'bank']",1,['Transaction Issues']
"First this app was pretty good and well connection while transferring money, but now there's no such a worst mob app ever while transferring money it corrupts due to the network and took the amount of money you were transferring from your account then after seconds interruptions it's shows that the money is transferred (this case happens especially to telebirrr wallet) then after you report the issue to the CBE customer service they refund your money to your CBE account after 3-5 days.",2,2025-01-09,Commercial Bank of Ethiopia,Google Play,app pretty good connection transfer money bad mob app transfer money corrupt network take money transfer account second interruption show money transfer case happen especially telebirrr wallet report issue CBE customer service refund money CBE account day,NEUTRAL,0.5258,"['app', 'good', 'transfer', 'money', 'account']",1,['Transaction Issues']
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,Commercial Bank of Ethiopia,Google Play,step verification update fake meaningless app give option use pin request step verification step update app differ previous case security safegaurding user feature app good easy use,NEGATIVE,0.9624145030975342,"['app', 'good', 'user', 'update', 'use', 'option', 'easy']",2,['Security Features']
Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,app simple use time transaction quality user transaction receipt abank mean app bank hand mobile frankly proud bank digital word wrote weakness poor connection,NEGATIVE,0.9996782541275024,"['app', 'mobile', 'transaction', 'bank', 'user', 'use', 'time']",1,['Transaction Issues']
"The app is full of bugs here and there, perhaps it's from the backend side idk. For instance the transaction history you see on top is one made a couple of months ago and you have to refresh until you reach the top. it's just so bizarre. And you can't even search for a transaction you made. Someone with a lot of transactions will find it annoying. Even simple things like localising dates to Amharic dates are now correctly implemented.",2,2025-02-25,Commercial Bank of Ethiopia,Google Play,app bug backend idk instance transaction history couple month ago refresh reach bizarre search transaction lot transaction find annoying simple thing like localise date amharic date correctly implement,NEGATIVE,0.9980921149253845,"['app', 'transaction', 'like']",1,['Transaction Issues']
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,Commercial Bank of Ethiopia,Google Play,life alot easy not imagine have transaction person app crucial good app,POSITIVE,0.9872106313705444,"['app', 'transaction', 'good', 'easy']",1,['Transaction Issues']
It used to be the best bank app in Ethiopia. But now using it is a terrible experience. For every transaction it shows an error message. Making a simple payment requires 5 to 6 trials to complete.,1,2025-01-31,Commercial Bank of Ethiopia,Google Play,good bank app Ethiopia terrible experience transaction show error message make simple payment require trial complete,NEGATIVE,0.9882586002349854,"['app', 'transaction', 'good', 'bank']",1,['Transaction Issues']
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,1,2025-03-22,Commercial Bank of Ethiopia,Google Play,sad guy add screenshot restriction app bad great value need rethink change star rating resolve issue,NEGATIVE,0.9993065595626831,"['app', 'need']",1,['Cluster_1']
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play,good app issue like not right bank issue transfer,POSITIVE,0.9681717753410339,"['app', 'good', 'like', 'bank', 'transfer']",1,['Transaction Issues']
Its good but we need an option of choosing a specific period to get a historique of transactions. For example when i want to check my previous transactions i only get few transactions. Thank you.,2,2025-01-30,Commercial Bank of Ethiopia,Google Play,good need option choose specific period historique transaction example want check previous transaction transaction thank,NEGATIVE,0.950850784778595,"['transaction', 'need', 'good', 'option']",1,"['Security Features', 'Transaction Issues']"
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Commercial Bank of Ethiopia,Google Play,disappointing especially ios similar local application extremely superior application disappointing,NEGATIVE,0.9995856881141663,['application'],1,['Cluster_1']
"As an app developer, I rely on Developer Mode to build and test apps, but this app blocks access entirely if it's enabled. This restriction is unnecessary and makes it impossible for developers to use the service. Instead of outright blocking, consider implementing enhanced security measures that don't alienate professionals who need this setting. Please reconsider this policy.",2,2024-12-31,Commercial Bank of Ethiopia,Google Play,app developer rely Developer Mode build test app app block access entirely enable restriction unnecessary make impossible developer use service instead outright blocking consider implement enhanced security measure alienate professional need setting reconsider policy,NEGATIVE,0.9975851774215698,"['app', 'need', 'use']",4,['Cluster_4']
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,Commercial Bank of Ethiopia,Google Play,good app integrate cbe cbe birr allow cardless withdrawal directly accout,POSITIVE,0.95685213804245,"['app', 'good']",1,['Positive User Experience']
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,Commercial Bank of Ethiopia,Google Play,work properly crash time commercial bank Ethiopia application send money CBE birr money bank account forcefully wait day money account walk CBE world go decentralized finance,NEGATIVE,0.994532585144043,"['work', 'application', 'bank', 'time', 'money', 'account']",1,['Cluster_1']
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",5,2025-03-29,Commercial Bank of Ethiopia,Google Play,exaggerate application big player banking industry simplify lot thing user bank pocket opinion transfer money word limit note end write reason briefly understand limited hand limit bank explain pay water code mention,NEUTRAL,0.5772,"['banking', 'application', 'bank', 'user', 'transfer', 'money']",1,['Transaction Issues']
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,developer read fix screenshot functionality download button work flawlessly touch time,POSITIVE,0.999433696269989,"['work', 'fix', 'time']",3,['Cluster_3']
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,design fix bug step verification biometric simply great,POSITIVE,0.9995181560516357,['fix'],1,['Cluster_1']
"I have seen lots of great updates right here, especially the 2FA using the biometric security technique, I suggest you work on minimising app crashing due to the accumulation of cache, very little cache crash it.",4,2025-02-03,Commercial Bank of Ethiopia,Google Play,see lot great update right especially biometric security technique suggest work minimise app crash accumulation cache little cache crash,NEGATIVE,0.5555525422096252,"['app', 'work', 'update']",2,['Cluster_2']
"Add customer service please other than calling 951. Why would you have a mobile app but not an online text-based customer service? Why? Disappointing And I will never use the top-up feature again, I have been trying to recharge my safaricom balance but your app would say time out and then credit my account but never recharge my balance, why? Where is my money? Do you expect me to call 951 at midnight?",2,2025-02-08,Commercial Bank of Ethiopia,Google Play,add customer service call mobile app online text base customer service disappointing use feature try recharge safaricom balance app time credit account recharge balance money expect midnight,NEGATIVE,0.9964966177940369,"['app', 'mobile', 'use', 'time', 'money', 'account']",3,['Cluster_3']
"Why on earth is CBE telling me to turn off developer mode? As the name clearly states, it's for developers, not for CBE to dictate. There are countless financial apps out there that work just fine without demanding such an unnecessary restriction. If your app can’t handle developer mode, that’s a you problem. Fix your code instead of disabling features that have absolutely nothing to do with you.",2,2025-01-25,Commercial Bank of Ethiopia,Google Play,earth CBE tell turn developer mode clearly state developer CBE dictate countless financial app work fine demand unnecessary restriction app handle developer mode problem fix code instead disable feature absolutely,NEGATIVE,0.9979535341262817,"['app', 'work', 'fix']",4,['Cluster_4']
"I really like this app as it is being updated from time to time and includes multiple payment options. In particular, giving a receipt makes it even more preferable. However, when it is refreshed, it does not show the history of credit and deposit in order and, I am of the opinion that it is better if the recent history is fixed respectively according to the transaction date in the future because there is a problem of confusion.",3,2024-09-12,Commercial Bank of Ethiopia,Google Play,like app update time time include multiple payment option particular give receipt make preferable refresh history credit deposit order opinion well recent history fix respectively accord transaction date future problem confusion,NEGATIVE,0.988088071346283,"['app', 'fix', 'transaction', 'like', 'update', 'time', 'option']",3,"['Security Features', 'Transaction Issues']"
"The previous version is much better than this one. I used it for more than six years without any problem. But now I'm having a serious trouble with the updated app. I don't know why it takes him forever to refresh and load the home page once you sign in. And if it fails to load, it never recovers. I only see some UI changes. Really disappointed",2,2021-01-01,Commercial Bank of Ethiopia,Google Play,previous version well year problem have trouble update app know take forever refresh load home page sign fail load recover UI change disappoint,NEGATIVE,0.999118983745575,"['app', 'update']",2,['Cluster_2']
"I like the application very much because it is user friendly and makes transactions easiest, especially for business matters. But, these few days I faced difficulties of opening it. I tried to uninstall and re install the app, and re verified at the nearest cbe center. But still failed to use all the functions. It says 'none available'. Any suggestions please!",3,2023-06-05,Commercial Bank of Ethiopia,Google Play,like application user friendly make transaction easy especially business matter day face difficulty open try uninstall install app verify near cbe center fail use function say available suggestion,NEGATIVE,0.9981421232223511,"['app', 'transaction', 'application', 'like', 'user', 'use', 'easy']",1,['Transaction Issues']
"Most of the time, in the 'Recents' button the app becomes stuck and doesn't show up details of transactions and doesn't even scroll down; should be solved. Second, the app doesn't save the last pop-up screen when a transaction is complete. Third, there is no telebirr transfer to other person option and the app by default lets you to only own telebirr transfer.",4,2022-10-06,Commercial Bank of Ethiopia,Google Play,time recent button app stuck detail transaction scroll solve second app save pop screen transaction complete telebirr transfer person option app default let telebirr transfer,NEGATIVE,0.9947577118873596,"['app', 'transaction', 'time', 'transfer', 'option']",3,"['Security Features', 'Transaction Issues']"
"It's a great app. I've been using this app since the bank launched it. As a long-term user, I would like to point out things that need to be improved. 1. Deleting money transfer history should be the user's choice. 2. There should be an option to download an in-depth transfer history for each transfer activity , just as there is posiblity to download a single time transfer recit. Do that and get 5 star.",3,2022-03-18,Commercial Bank of Ethiopia,Google Play,great app app bank launch long term user like point thing need improve delete money transfer history user choice option download depth transfer history transfer activity posiblity download single time transfer recit star,NEGATIVE,0.986228346824646,"['app', 'need', 'like', 'bank', 'user', 'time', 'transfer', 'money', 'option']",1,"['Security Features', 'Transaction Issues']"
"This app has several issues based on my experience. Below are the problems that I encountered: 1. The app frequently crashes. 2. It only shows a limited transaction record history (25 transactions). 3. You can't access the transaction records after 8:00 pm and on Sundays. 4. It displays a ""payment failed"" message. It would be greatly appreciated if you could address these issues",1,2024-08-25,Commercial Bank of Ethiopia,Google Play,app issue base experience problem encounter app frequently crash show limited transaction record history transaction access transaction record pm Sundays display payment fail message greatly appreciate address issue,NEGATIVE,0.9778158664703369,"['app', 'transaction']",1,['Transaction Issues']
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,Commercial Bank of Ethiopia,Google Play,star visit bank new installation app reactivation take minute long queue system failure learn telebire app option customer apt ridiculous security feature second customization setting display account want display section slide main account time make pay monthly subscription bare minimum,NEGATIVE,0.9976775050163269,"['app', 'bank', 'time', 'account', 'option']",3,['Security Features']
"My experience with this app has been outstanding so far,but sometimes it has a hard time connecting with network and makes it hard to make transactions. Apart from that it's amazing.",4,2024-12-17,Commercial Bank of Ethiopia,Google Play,experience app outstanding far hard time connect network make hard transaction apart amazing,POSITIVE,0.9984190464019775,"['app', 'transaction', 'time']",3,['Transaction Issues']
"I have been using this app for almost four years now. In the beginning, it was working fine. Sometime later, it gets difficult to create a connection to my account, and could not manage to make and see transactions on my account. After updating it lately, Jul 2020, I was glad this app came with some user interface improvements, and the connection was quite fast. Not longer than two weeks, the app starts to get stuck, and it cannot even show me the UI properly. As a result, I have a useless app on my cell phone, hoping that [you] will soon come with updates.",2,2020-09-03,Commercial Bank of Ethiopia,Google Play,app year beginning work fine later get difficult create connection account manage transaction account update lately Jul glad app come user interface improvement connection fast long week app start stick UI properly result useless app cell phone hope soon come update,NEGATIVE,0.9992289543151855,"['app', 'work', 'transaction', 'user', 'update', 'account']",2,['Transaction Issues']
"Application UI and new features are better than the previous version. I found a minor bugs though. I couldn't transfer to an account from the beneficiary list, it says None Available; There is still so much to do with the localization; Instead of ሰኔ it says ጁን and more like this; date conversion is missing also. If this minor things are fixed it will be much better.",3,2020-11-05,Commercial Bank of Ethiopia,Google Play,application UI new feature well previous version find minor bug transfer account beneficiary list say available localization instead ሰኔ say ጁን like date conversion miss minor thing fix well,NEGATIVE,0.9985210299491882,"['fix', 'application', 'like', 'transfer', 'account']",1,['Transaction Issues']
"It is a good and progressive app through the updates. I think the app should further solve its bugs like 1. It doesn't download or share attachment on android 12 and 11, it used to work on android 10. 2. Sometimes transactions seem like they have failed and there are no records, but the transactions actually have passed this is a very serious issue, because people will try the transaction again which will end up doubling the payment.",4,2022-09-15,Commercial Bank of Ethiopia,Google Play,good progressive app update think app solve bug like download share attachment android work android transaction like fail record transaction actually pass issue people try transaction end double payment,NEGATIVE,0.8781124353408813,"['app', 'work', 'transaction', 'good', 'like', 'update']",1,['Transaction Issues']
"With each update the app is getting slower and slower, specially when requesting transaction history. And I wish the logging process could be done easily. When someone changes a phone, it makes it mandatory to consult the branch and that makes it not to be self assisted. Hope you could fix it. Please add an option of transferring to other TeleBirr numbers other than the ""Own telebirr"" option. It id very limiting now a days",4,2023-08-11,Commercial Bank of Ethiopia,Google Play,update app get slow slow specially request transaction history wish logging process easily change phone make mandatory consult branch make self assist hope fix add option transfer TeleBirr number telebirr option d limit day,NEGATIVE,0.9977743029594421,"['app', 'fix', 'transaction', 'update', 'transfer', 'option']",2,"['Security Features', 'Transaction Issues']"
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,Commercial Bank of Ethiopia,Google Play,absolutely good app work flawlessly anytime,POSITIVE,0.9998699426651001,"['app', 'work', 'good']",1,['Positive User Experience']
"The CBE mobile banking app is a time-saver, but it needs several improvements, like adding fingerprint authentication. It's risky when people see me entering my PIN. Additionally, the fees are unreasonable. You could learn from Tele Birr, which adjusts fees based on the transaction amount. However, the CBEMB app charges a flat 10 birr fee for amounts between 5 and 1000 birr, which I think is unfair.",2,2024-09-04,Commercial Bank of Ethiopia,Google Play,CBE mobile banking app time saver need improvement like add fingerprint authentication risky people enter PIN additionally fee unreasonable learn Tele Birr adjust fee base transaction CBEMB app charge flat birr fee amount birr think unfair,NEGATIVE,0.9986144304275513,"['app', 'mobile', 'banking', 'transaction', 'need', 'like', 'time']",0,['Transaction Issues']
"The app is awesome. But there are many things to highlight.For example, When spending money from the account , a confirmation text message must be sent to the account holder. Also the fact that, the PIN is only four digits is not safe enough for security, if it is more than eight digits and includes numbers and symbols, it will be cool.",3,2023-01-29,Commercial Bank of Ethiopia,Google Play,app awesome thing highlight example spend money account confirmation text message send account holder fact PIN digit safe security digit include number symbol cool,POSITIVE,0.987905740737915,"['app', 'money', 'account']",1,['Cluster_1']
"Still needs development on several features.... For example - bank statements available online. The text feature of available balance and debited/credited notifications is very old school and involves too much digital trail. App doesn't always work, could be due to network issues in Ethiopia though. Another major issue is an error message is displayed when transferring from CBE to other banks. Ive almost lost a few thousands doing this once. Always cross check your balances.",1,2024-08-27,Commercial Bank of Ethiopia,Google Play,need development feature example bank statement available online text feature available balance debit credit notification old school involve digital trail App work network issue Ethiopia major issue error message display transfer CBE bank ve lose thousand cross check balance,NEGATIVE,0.9898229837417603,"['app', 'work', 'need', 'bank', 'transfer']",1,['Transaction Issues']
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,4,2025-03-31,Commercial Bank of Ethiopia,Google Play,recently app keep closing notification say app bug update,NEUTRAL,0.5,"['app', 'update']",2,['Cluster_2']
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,Commercial Bank of Ethiopia,Google Play,unstatisfied new update keeps crash reach max txn day refuse transfer probably go change bank fix asap,NEGATIVE,0.9976822137832642,"['fix', 'bank', 'update', 'transfer']",2,['Transaction Issues']
"The app has brought a new problem. When i open the app, it closes itself then i have to open it again. Please fix this issue if it's your problem",3,2025-03-14,Commercial Bank of Ethiopia,Google Play,app bring new problem open app close open fix issue problem,NEGATIVE,0.9932535290718079,"['app', 'fix']",4,['Cluster_4']
